"Timestamp","Full Name","Email","What program are you in?","What year are you in?","Do you want to be matched with someone in the same year as you?","Books or movies? ","Favourite movie genre?","Most of my Spotify playlist is:","Would you get a tattoo?","What would you do if someone liked your best friend, but you promised not to tell?","Where do you put your clothes when you undress for bed?","Your biggest interests are:","Favourite sport:","Go to app:","The best season is:","Are you a night owl or early bird?","Break the ice with a message to your matches!","How can your matches contact you?"
"2021/07/18 2:20:02 AM AST","HHHH","HHHH@gmail.com","Cytology","2","No (I don't care)","Movies","Drama","EDM","Yes","Set them up","Onto a chair or dresser","The couch and TV","Soccer","Instagram","Spring","Early bird","asdadasf","dsgffsdgfd"
"2021/07/18 2:20:37 AM AST","IIII","IIII@gmail.com","Radiation Therapy","2","No (I don't care)","Books","Musical","EDM","My appointment is booked","Hint at it","Drop them on the pile from the day before","Computers and video games","Basketball","Facebook","Spring","Early bird","asfdsgsdf","sddffdgfdgh"
"2021/07/18 2:21:08 AM AST","JJJJ","JJJJ@gmail.com","Genetics Technology","2","No (I don't care)","Books","Drama","Hip-hop and Rap","My appointment is booked","Set them up","Onto a chair or dresser","Computers and video games","Hockey","Facebook","Summer","Night owl","safadfgdsa","dfgfdfdhggf"
"2021/07/18 2:21:47 AM AST","KKKK","KKKK@gmail.com","Cardiovascular Perfusion","2","Yes","Books","Documentary","Latin music","Only temporary ones","Hint at it","Where they belong","Books and the library","Volleyball","Instagram","Summer","Night owl","asdasfdasgd","dfgdfgfdgdf"
"2021/07/18 2:22:15 AM AST","LLLL","LLLL@gmail.com","Genetics Technology","2","Yes","Books","Action","Pop","Maybe","Tell them anyway","Onto a chair or dresser","Books and the library","Football","Instagram","Spring","Early bird","asdasdfafdsg","dfsgsdgsdgsd"
"2021/07/18 2:22:48 AM AST","MMMM","MMMM@gmail.com","Chiropody","2","No (I don't care)","Books","Action","Hip-hop and Rap","Yes","Tell them anyway","Onto a chair or dresser","Computers and video games","Football","Facebook","Winter","Night owl","dasfh","adsfgh"
"2021/07/18 2:23:15 AM AST","NNNN","NNNN@gmail.com","Chiropody","1","No (I don't care)","Movies","Action","Hip-hop and Rap","Yes","Hint at it","Where they belong","Computers and video games","Hockey","Twitter","Spring","Night owl","sadfdsgsdfg","dfgdfhgfdh"
"2021/07/18 2:23:43 AM AST","OOOO","OOOO@gmail.com","Chiropody","1","No (I don't care)","Books","Action","Pop","Maybe","Tell them anyway","Onto a chair or dresser","Fashion and shopping","Football","Discord","Winter","Early bird","asdfdsgfsdg","dfgfdgdfg"
"2021/07/18 2:24:17 AM AST","PPPP","PPPP@gmail.com","Chiropody","2","No (I don't care)","Books","Action","Hip-hop and Rap","Yes","Hint at it","Where they belong","Computers and video games","Hockey","Twitter","Spring","Early bird","agfdsgfdg","dfgdfgfdg"
"2021/07/18 2:24:51 AM AST","QQQQ","QQQQ@gmail.com","Chiropody","1","Yes","Movies","Drama","EDM","Yes","Hint at it","Onto a chair or dresser","Fashion and shopping","Football","Twitter","Spring","Night owl","afadfgsfdgdf","gfddfgfdgd"
"2021/07/18 2:25:25 AM AST","RRRR","RRRR@gmail.com","Cardiovascular Perfusion","2","No (I don't care)","Books","Action","Rock","My appointment is booked","Hint at it","Onto a chair or dresser","Fashion and shopping","Basketball","Twitter","Spring","Early bird","sadaffdsgdfg","sdfsdgfdsgdfghf"
"2021/07/18 2:25:26 AM AST","ZZZZZZ","ZZZZ@gmail.com","Chiropody","1","Yes","Movies","Documentary","EDM","Been there done that","Hint at it","Drop them on the pile from the day before","Books and the library","I don't like sports!","Twitter","Summer","Night owl","hey",""
"2021/07/18 2:26:03 AM AST","SSSS","SSSS@gmail.com","Ultrasound","3","No (I don't care)","Movies","Mystery","Metal","Only temporary ones","Keep it to yourself","Drop them on the pile from the day before","The couch and TV","I don't like sports!","WeChat","Fall","Early bird","asdfdsfsdg","fgdfgfdg"
"2021/07/18 2:26:39 AM AST","ZZZZZZ","ZZZZZZ@gmail.com","Genetics Technology","2","Yes","Books","Drama","Hip-hop and Rap","Yes","Hint at it","Onto a chair or dresser","Computers and video games","Football","Twitter","Winter","Early bird","asdfg","asdasfs"
"2021/07/18 2:27:05 AM AST","TTTT","TTTT@gmail.com","Cytology","2","No (I don't care)","Books","Action","Hip-hop and Rap","Maybe","Tell them anyway","Drop them on the pile from the day before","Fashion and shopping","Basketball","Twitter","Summer","Early bird","asdfg","sfdgh"
